                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8174,                 3.3088,                 2.2188,                0.00372,                      1,                0.25498,                0.08542,                  1.292,                 3.7275,                 2.3662,              3.334e-05,              3.334e-05,              3.334e-05
                      1,                 1.5918,                 3.2171,                 1.9373,                0.00364,                      1,                0.39175,                0.17176,                 1.1677,                 3.6168,                 2.1002,               8.17e-05,               8.17e-05,               8.17e-05
                      2,                 1.2564,                 2.9905,                 1.6637,                0.00345,                      1,                0.41831,                0.22939,                0.95233,                 3.5513,                 1.8353,             0.00012808,             0.00012808,             0.00012808
                      3,                 1.2274,                 2.7149,                 1.5985,                0.00335,                      1,                0.48665,                0.28225,                0.97276,                 3.4647,                 1.7494,             0.00017248,             0.00017248,             0.00017248
                      4,                 1.2197,                 2.3483,                 1.6089,                0.00333,                      1,                0.51277,                0.30613,                 1.1034,                 3.3622,                 1.7483,              0.0002149,              0.0002149,              0.0002149
                      5,                 1.2323,                 2.2961,                 1.5902,                0.00333,                      1,                0.54813,                0.33233,                 1.0482,                 3.2342,                 1.6993,             0.00025533,             0.00025533,             0.00025533
                      6,                 1.1444,                 2.1861,                 1.4728,                0.00333,                      1,                0.50181,                0.30779,                 1.0187,                 3.2586,                 1.7146,             0.00029379,             0.00029379,             0.00029379
                      7,                 1.0653,                 1.9163,                 1.4375,                0.00334,                      1,                 0.4771,                0.28068,                 1.0189,                 3.3146,                 1.7452,             0.00033027,             0.00033027,             0.00033027
                      8,                 1.1797,                 1.9791,                 1.4783,                0.00339,                      1,                0.47681,                0.32849,                 1.0138,                 3.2943,                 1.8155,             0.00036477,             0.00036477,             0.00036477
                      9,                 1.0823,                 2.0604,                 1.5274,                0.00336,                      1,                 0.5395,                0.37695,                 1.0387,                  3.235,                 1.8395,             0.00039728,             0.00039728,             0.00039728
                     10,                 1.0358,                 1.9432,                  1.379,                0.46589,                0.81328,                0.60818,                0.43652,                 1.0218,                 3.0625,                 1.7493,             0.00042782,             0.00042782,             0.00042782
                     11,                 1.1142,                 2.0006,                 1.5843,                0.56989,                  0.375,                0.63969,                0.44358,                0.95084,                  2.989,                 1.6826,             0.00045637,             0.00045637,             0.00045637
                     12,                 1.1157,                 1.9538,                 1.5306,                 0.5876,                  0.575,                0.69261,                0.45344,                0.97519,                 2.8027,                 1.7611,             0.00048295,             0.00048295,             0.00048295
                     13,                 1.0364,                 1.7405,                 1.3458,                0.65741,                0.77124,                0.74359,                0.51436,                 0.9532,                 2.6975,                 1.7296,             0.00050754,             0.00050754,             0.00050754
                     14,                 1.1851,                 1.8548,                 1.5798,                0.61276,                    0.9,                 0.8239,                0.56496,                 1.2005,                 2.5267,                 2.2085,             0.00053016,             0.00053016,             0.00053016
                     15,                 1.0731,                 1.8726,                 1.5726,                0.62738,                0.78419,                0.76699,                0.51259,                 1.1425,                 2.5698,                 2.0054,             0.00055079,             0.00055079,             0.00055079
                     16,                 1.0545,                 1.5885,                 1.3536,                0.65109,                0.64863,                0.71628,                0.45817,                0.97864,                 2.7316,                 1.7804,             0.00056945,             0.00056945,             0.00056945
                     17,                 1.0698,                 1.8236,                 1.3954,                0.65827,                  0.525,                0.70955,                0.51054,                0.92265,                 2.7536,                 1.6908,             0.00058612,             0.00058612,             0.00058612
                     18,                 1.0201,                  1.679,                 1.3498,                0.63089,                    0.5,                0.71791,                0.51555,                0.95292,                 2.6894,                 1.7071,             0.00060081,             0.00060081,             0.00060081
                     19,                  1.032,                 1.6724,                 1.4169,                0.56032,                0.67381,                0.72003,                0.53918,                 0.9499,                 2.5801,                  1.717,             0.00061353,             0.00061353,             0.00061353
                     20,                 1.1032,                 1.5487,                  1.335,                 0.6087,                  0.725,                0.77499,                0.57212,                 0.9499,                 2.4244,                 1.7564,             0.00062426,             0.00062426,             0.00062426
                     21,                0.92077,                 1.4525,                 1.2964,                0.65927,                  0.787,                0.84157,                0.62129,                0.94531,                 2.2687,                  1.751,             0.00063301,             0.00063301,             0.00063301
                     22,                0.89972,                 1.5298,                  1.315,                0.82687,                    0.8,                0.89028,                0.66144,                0.92105,                 2.0878,                 1.6657,             0.00063978,             0.00063978,             0.00063978
                     23,                 1.0171,                 1.5423,                 1.3766,                 0.7464,                  0.825,                0.85284,                0.64265,                0.87933,                 2.1017,                 1.5712,             0.00064457,             0.00064457,             0.00064457
                     24,                0.92196,                 1.3682,                 1.3246,                 0.8248,                   0.85,                0.88451,                0.67549,                0.87484,                 2.1374,                 1.5393,             0.00064738,             0.00064738,             0.00064738
                     25,                0.89637,                 1.4113,                 1.2445,                0.87281,                0.85627,                0.91971,                0.71135,                0.90314,                 2.1505,                 1.6165,             0.00064821,             0.00064821,             0.00064821
                     26,                0.97823,                 1.3824,                 1.3531,                0.85207,                0.85514,                0.90775,                0.67745,                  1.052,                 2.2256,                 1.8222,             0.00064706,             0.00064706,             0.00064706
                     27,                0.90327,                 1.3219,                 1.2692,                0.77883,                  0.823,                0.85648,                0.62863,                 1.1498,                 2.2277,                 2.0932,             0.00064393,             0.00064393,             0.00064393
                     28,                0.97634,                 1.5589,                 1.3687,                0.77883,                  0.823,                0.85648,                0.62863,                 1.1498,                 2.2277,                 2.0932,             0.00063882,             0.00063882,             0.00063882
                     29,                0.88069,                 1.3272,                  1.236,                0.85438,                0.77169,                0.90826,                0.66466,                 1.0322,                 2.0572,                 1.9053,             0.00063173,             0.00063173,             0.00063173
                     30,                0.90417,                 1.3784,                 1.3158,                0.86994,                0.81219,                0.91883,                0.67744,                0.96405,                 1.9089,                 1.8016,             0.00062266,             0.00062266,             0.00062266
                     31,                 1.0152,                 1.2896,                 1.3137,                0.83958,                  0.875,                0.93873,                0.72461,                  0.843,                 1.8862,                 1.6197,             0.00061161,             0.00061161,             0.00061161
                     32,                0.90053,                 1.4092,                  1.284,                0.83958,                  0.875,                0.93873,                0.72461,                  0.843,                 1.8862,                 1.6197,             0.00059857,             0.00059857,             0.00059857
                     33,                0.85242,                 1.2691,                 1.2199,                0.81257,                0.93671,                 0.9463,                0.73372,                0.91771,                 1.9845,                 1.6977,             0.00057778,             0.00057778,             0.00057778
                     34,                0.89414,                 1.3306,                 1.2844,                0.91452,                0.93752,                0.97746,                0.70422,                 1.0527,                 1.9914,                 1.8516,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.0474,                 1.3062,                 1.4707,                0.95434,                 0.9227,                0.98497,                0.76733,                0.86562,                 1.9763,                 1.6321,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.0047,                 1.4425,                  1.394,                0.95434,                 0.9227,                0.98497,                0.76733,                0.86562,                 1.9763,                 1.6321,             0.00051177,             0.00051177,             0.00051177
                     37,                 0.8353,                 1.2347,                 1.2571,                0.95263,                 0.9465,                0.98441,                0.76947,                0.81419,                 1.9056,                 1.5639,             0.00047876,             0.00047876,             0.00047876
                     38,                0.85081,                 1.1997,                 1.2371,                0.95105,                0.95209,                0.98797,                0.78175,                0.81572,                 1.8243,                 1.5265,             0.00044576,             0.00044576,             0.00044576
                     39,                0.89888,                 1.3287,                 1.3055,                0.97615,                0.97903,                  0.995,                0.80412,                0.80026,                 1.7596,                 1.5101,             0.00041275,             0.00041275,             0.00041275
                     40,                0.90342,                 1.3396,                  1.327,                0.97615,                0.97903,                  0.995,                0.80412,                0.80026,                 1.7596,                 1.5101,             0.00037974,             0.00037974,             0.00037974
                     41,                0.84533,                 1.1808,                 1.2686,                0.99241,                0.98521,                  0.995,                 0.8279,                  0.753,                 1.6265,                 1.4581,             0.00034674,             0.00034674,             0.00034674
                     42,                0.79537,                  1.219,                 1.2031,                0.99586,                0.99492,                  0.995,                0.84214,                0.72465,                 1.4174,                 1.4139,             0.00031373,             0.00031373,             0.00031373
                     43,                0.79616,                 1.1793,                 1.2521,                0.99364,                0.98839,                  0.995,                0.83901,                0.74089,                 1.4021,                 1.4043,             0.00028072,             0.00028072,             0.00028072
                     44,                0.87571,                 1.2058,                  1.298,                0.99364,                0.98839,                  0.995,                0.83901,                0.74089,                 1.4021,                 1.4043,             0.00024772,             0.00024772,             0.00024772
                     45,                 0.8961,                  1.228,                 1.3215,                0.98665,                0.97941,                  0.995,                 0.8412,                0.77697,                 1.4099,                 1.4273,             0.00021471,             0.00021471,             0.00021471
                     46,                0.95802,                  1.441,                  1.343,                0.96095,                 0.9759,                  0.995,                0.85535,                0.78428,                 1.4162,                 1.4388,              0.0001817,              0.0001817,              0.0001817
                     47,                0.84289,                 1.1744,                 1.2308,                0.94289,                  0.975,                0.99381,                0.84945,                0.76997,                  1.414,                 1.4233,              0.0001487,              0.0001487,              0.0001487
                     48,                0.79626,                 1.1146,                 1.2193,                0.94289,                  0.975,                0.99381,                0.84945,                0.76997,                  1.414,                 1.4233,             0.00011569,             0.00011569,             0.00011569
                     49,                0.97159,                 1.2793,                 1.3474,                0.96056,                0.97619,                  0.995,                0.85021,                0.76263,                 1.3997,                 1.4163,             8.2683e-05,             8.2683e-05,             8.2683e-05
